Granada; Granada Club de Fútbol;Club Recreativo Granada;Granada;1931;Nuevo Los Cármenes;https://es.wikipedia.org/wiki/Granada_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Nuevo_Los_C%C3%A1rmenes
Zaragoza; Real Zaragoza;Zaragoza Foot-Ball Club;Zaragoza;1932;La Romareda;https://es.wikipedia.org/wiki/Real_Zaragoza;https://es.wikipedia.org/wiki/La_Romareda
Barcelona; Fútbol Club Barcelona;Foot-Ball Club Barcelona;Barcelona;1899;Camp Nou;https://es.wikipedia.org/wiki/F%C3%BAtbol_Club_Barcelona;https://es.wikipedia.org/wiki/Camp_Nou
Dptivo. Coruña; Real Club Deportivo de La Coruña;Club Deportivo de la Sala Calvet;La Coruña;1906;Abanca-Riazor;https://es.wikipedia.org/wiki/Real_Club_Deportivo_de_La_Coru%C3%B1a;https://es.wikipedia.org/wiki/Estadio_de_Riazor
At. Madrid; Club Atlético de Madrid;Athletic Club (Sucursal de Madrid);Madrid;1903;Wanda Metropolitano;https://es.wikipedia.org/wiki/Club_Atl%C3%A9tico_de_Madrid;https://es.wikipedia.org/wiki/Estadio_Metropolitano_(Madrid)
Valencia; Levante Unión Deportiva;Levante Foot-Ball Club;Valencia;1909;Ciudad de Valencia;https://es.wikipedia.org/wiki/Levante_Uni%C3%B3n_Deportiva;https://es.wikipedia.org/wiki/Estadio_Ciudad_de_Valencia
Las Palmas; Sociedad Deportiva Tenisca;Tenisca Balompié;Santa Cruz de La Palma;1922;Virgen de las Nieves;https://es.wikipedia.org/wiki/Sociedad_Deportiva_Tenisca;https://es.wikipedia.org/wiki/Estadio_Virgen_de_las_Nieves
Oviedo; Pumarín Club de Futbol;Pumarín Club de Futbol;Oviedo;1917;Campo de fútbol Luis Oliver;https://es.wikipedia.org/wiki/Pumar%C3%ADn_Club_de_Futbol;https://es.wikipedia.org/w/index.php?title=Campo_de_f%C3%BAtbol_Luis_Oliver&action=edit&redlink=1
Sporting Gijón; Real Sporting de Gijón;Sporting Gijonés;Gijón;1905;Municipal El Molinón-Enrique Castro Quini;https://es.wikipedia.org/wiki/Real_Sporting_de_Gij%C3%B3n;https://es.wikipedia.org/wiki/Estadio_El_Molin%C3%B3n
Betis; Real Betis Balompié;Sevilla Balompié;Sevilla;1906;Benito Villamarín;https://es.wikipedia.org/wiki/Real_Betis_Balompi%C3%A9;https://es.wikipedia.org/wiki/Estadio_Benito_Villamar%C3%ADn
Castellón; Club Deportivo Castellón;Castellón Foot-Ball Club;Castellón de la Plana;1919;Nuevo Castalia;https://es.wikipedia.org/wiki/Club_Deportivo_Castell%C3%B3n;https://es.wikipedia.org/wiki/Nuevo_Estadio_Castalia
Real Madrid; Real Madrid Club de Fútbol;(Sociedad) Madrid Foot-Ball Club[n 5]​;Madrid;1900;Santiago Bernabéu;https://es.wikipedia.org/wiki/Real_Madrid_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Santiago_Bernab%C3%A9u
Celta; Real Club Celta de Vigo;Real Club Celta;Vigo;1923;Balaídos;https://es.wikipedia.org/wiki/Real_Club_Celta_de_Vigo;https://es.wikipedia.org/wiki/Bala%C3%ADdos
Espanyol; Real Club Deportivo Español;Sociedad Española de Foot-Ball;Barcelona;1900;RCDE Stadium;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Espa%C3%B1ol;https://es.wikipedia.org/wiki/RCDE_Stadium
Málaga (C.D.); Vélez Club de Fútbol;Sociedad Deportiva Vélez Football Club;Vélez-Málaga;1922;Estadio Vivar Téllez;https://es.wikipedia.org/wiki/V%C3%A9lez_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Vivar_T%C3%A9llez
Ath. Bilbao; Athletic Club;Athletic Club;Bilbao;1898;San Mamés;https://es.wikipedia.org/wiki/Athletic_Club;https://es.wikipedia.org/wiki/Estadio_de_San_Mam%C3%A9s_(2013)
Burgos; Real Burgos Club de Fútbol;Real Burgos Club de Fútbol;Burgos;1983;Pallafría;https://es.wikipedia.org/wiki/Real_Burgos_Club_de_F%C3%BAtbol;https://es.wikipedia.org/w/index.php?title=Campos_de_F%C3%BAtbol_de_Pallafr%C3%ADa&action=edit&redlink=1
Real Sociedad; Real Club Deportivo Español;Sociedad Española de Foot-Ball;Barcelona;1900;RCDE Stadium;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Espa%C3%B1ol;https://es.wikipedia.org/wiki/RCDE_Stadium
Mallorca; Real Club Deportivo Mallorca;(Sociedad) Alfonso XIII Foot-Ball Club;Palma de Mallorca;1916;Son Moix;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Mallorca;https://es.wikipedia.org/wiki/Son_Moix
Rayo Vallecano; Rayo Vallecano de Madrid;Agrupación Deportiva El Rayo;Madrid;1924;Campo de Fútbol de Vallecas;https://es.wikipedia.org/wiki/Rayo_Vallecano_de_Madrid;https://es.wikipedia.org/wiki/Campo_de_F%C3%BAtbol_de_Vallecas
Barakaldo; Barakaldo Club de Fútbol;Baracaldo Foot-Ball Club;Baracaldo;1917;Nuevo Lasesarre;https://es.wikipedia.org/wiki/Barakaldo_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_de_Nuevo_Lasesarre
Pontevedra; Pontevedra Club de Fútbol;Pontevedra Club de Fútbol;Pontevedra;1941;Municipal de Pasarón;https://es.wikipedia.org/wiki/Pontevedra_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Pasar%C3%B3n
Sant Andreu; Unió Esportiva Sant Andreu;Unió Esportiva Sant Andreu;Barcelona;1909;Narcís Sala;https://es.wikipedia.org/wiki/Uni%C3%B3_Esportiva_Sant_Andreu;https://es.wikipedia.org/wiki/Estadio_Narc%C3%ADs_Sala
Gimn. Tarragona; Club Gimnàstic de Tarragona;Club Gimnástico de Tarragona;Tarragona;1914;Nou Estadi;https://es.wikipedia.org/wiki/Club_Gimn%C3%A0stic_de_Tarragona;https://es.wikipedia.org/wiki/Nou_Estadi_de_Tarragona
Elche; Elche Club de Fútbol;Elche Foot-Ball Club;Elche;1922;Martínez Valero;https://es.wikipedia.org/wiki/Elche_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Mart%C3%ADnez_Valero
Cult. Leonesa; Cultural y Deportiva Leonesa;Cultural y Deportiva Leonesa;León;1923;Municipal Reino de León;https://es.wikipedia.org/wiki/Cultural_y_Deportiva_Leonesa;https://es.wikipedia.org/wiki/Estadio_Municipal_Reino_de_Le%C3%B3n
Sevilla; Sevilla Fútbol Club;Sevilla Foot-Ball Club;Sevilla;1890;Ramón Sánchez-Pizjuán;https://es.wikipedia.org/wiki/Sevilla_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Estadio_Ram%C3%B3n_S%C3%A1nchez-Pizju%C3%A1n
Tenerife; Club Deportivo Tenerife;Sporting Club Tenerife;Santa Cruz de Tenerife;1912;Heliodoro Rodríguez López;https://es.wikipedia.org/wiki/Club_Deportivo_Tenerife;https://es.wikipedia.org/wiki/Estadio_Heliodoro_Rodr%C3%ADguez_L%C3%B3pez
Valladolid; Real Valladolid Club de Fútbol;Real Valladolid Deportivo;Valladolid;1928;José Zorrilla;https://es.wikipedia.org/wiki/Real_Valladolid_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Jos%C3%A9_Zorrilla
Hércules; Hércules de Alicante Club de Fútbol;Hércules Foot-Ball Club;Alicante;1914;José Rico Pérez;https://es.wikipedia.org/wiki/H%C3%A9rcules_de_Alicante_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Jos%C3%A9_Rico_P%C3%A9rez
Valencia B; Levante Unión Deportiva;Levante Foot-Ball Club;Valencia;1909;Ciudad de Valencia;https://es.wikipedia.org/wiki/Levante_Uni%C3%B3n_Deportiva;https://es.wikipedia.org/wiki/Estadio_Ciudad_de_Valencia
Murcia; Real Murcia Club de Fútbol;Levante Foot-Ball Club de Murcia;Murcia;1908;Enrique Roca de Murcia;https://es.wikipedia.org/wiki/Real_Murcia_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Enrique_Roca_de_Murcia
Cádiz; Cádiz Club de Fútbol;Cádiz Foot-Ball Club;Cádiz;1910;Ramón de Carranza;https://es.wikipedia.org/wiki/C%C3%A1diz_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Ram%C3%B3n_de_Carranza
Sabadell; Centre d Esports Sabadell Futbol Club;Centre dEsports Sabadell;Sabadell;1901;Nova Creu Alta;https://es.wikipedia.org/wiki/Centre_d%27Esports_Sabadell_Futbol_Club;https://es.wikipedia.org/wiki/Nova_Creu_Alta
Córdoba; Córdoba Club de Fútbol;Club Deportivo San Álvaro;Córdoba;1954;Nuevo Arcángel;https://es.wikipedia.org/wiki/C%C3%B3rdoba_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Nuevo_Arc%C3%A1ngel
Logroñés; Unión Deportiva Logroñés;Club Deportivo Varea;Logroño;1967;Las Gaunas;https://es.wikipedia.org/wiki/Uni%C3%B3n_Deportiva_Logro%C3%B1%C3%A9s;https://es.wikipedia.org/wiki/Estadio_Las_Gaunas
Osasuna; Club Atlético Osasuna;Club Atlético Osasuna;Pamplona;1920;El Sadar;https://es.wikipedia.org/wiki/Club_Atl%C3%A9tico_Osasuna;https://es.wikipedia.org/wiki/El_Sadar
Rac. Santander; Real Racing Club de Santander;Santander Racing Club;Santander;1913;El Sardinero;https://es.wikipedia.org/wiki/Real_Racing_Club_de_Santander;https://es.wikipedia.org/wiki/Campos_de_Sport_de_El_Sardinero
Levante; Real Murcia Club de Fútbol;Levante Foot-Ball Club de Murcia;Murcia;1908;Enrique Roca de Murcia;https://es.wikipedia.org/wiki/Real_Murcia_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Enrique_Roca_de_Murcia
Salamanca; Unionistas de Salamanca Club de Fútbol;Plataforma de Aficionados Unionistas;Salamanca;2013;Pistas del Helmántico;https://es.wikipedia.org/wiki/Unionistas_de_Salamanca_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Helm%C3%A1ntico#Pistas_del_Helmántico
Rec. Huelva; Real Club Recreativo de Huelva;Huelva Recreation Club;Huelva;1889;Nuevo Colombino;https://es.wikipedia.org/wiki/Real_Club_Recreativo_de_Huelva;https://es.wikipedia.org/wiki/Estadio_Nuevo_Colombino
Alavés; Deportivo Alavés;Club Deportivo Alavés;Vitoria;1921;Mendizorroza;https://es.wikipedia.org/wiki/Deportivo_Alav%C3%A9s;https://es.wikipedia.org/wiki/Estadio_de_Mendizorroza
Barcelona B; Fútbol Club Barcelona;Foot-Ball Club Barcelona;Barcelona;1899;Camp Nou;https://es.wikipedia.org/wiki/F%C3%BAtbol_Club_Barcelona;https://es.wikipedia.org/wiki/Camp_Nou
Terrassa; Terrassa Fútbol Club;Terrassa Olímpica 2010;Tarrasa;2009;Olímpic de Terrassa;https://es.wikipedia.org/wiki/Terrassa_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Ol%C3%ADmpic_de_Terrassa
Calvo Sotelo; Club Deportivo Puertollano;Club Deportivo Calvo Sotelo;Puertollano;1948;Ciudad de Puertollano;https://es.wikipedia.org/wiki/Club_Deportivo_Puertollano;https://es.wikipedia.org/wiki/Estadio_Ciudad_de_Puertollano
Jaén; Real Jaén Club de Fútbol;Sociedad Olímpica Jiennense;Jaén;1929;La Victoria;https://es.wikipedia.org/wiki/Real_Ja%C3%A9n_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Nuevo_Estadio_de_La_Victoria
Getafe; Club Atlético de Madrid B;Club Atlético Getafe;Majadahonda;1963;Cerro del Espino;https://es.wikipedia.org/wiki/Club_Atl%C3%A9tico_de_Madrid_%22B%22;https://es.wikipedia.org/wiki/Miniestadio_Cerro_del_Espino
Real Madrid B; Real Madrid Club de Fútbol;(Sociedad) Madrid Foot-Ball Club[n 5]​;Madrid;1900;Santiago Bernabéu;https://es.wikipedia.org/wiki/Real_Madrid_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Santiago_Bernab%C3%A9u
Ferrol; Racing Club de Ferrol;Racing Ferrol Foot-Ball Club;Ferrol;1919;A Malata;https://es.wikipedia.org/wiki/Racing_Club_de_Ferrol;https://es.wikipedia.org/wiki/Estadio_de_A_Malata
Algeciras; Algeciras Club de Fútbol;Algeciras Sporting Club;Algeciras;1909;Nuevo Mirador;https://es.wikipedia.org/wiki/Algeciras_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Nuevo_Mirador
Ceuta; Club Atlético de Ceuta;Club Atlético de Ceuta;Ceuta;1956;Municipal Alfonso Murube;https://es.wikipedia.org/wiki/Club_Atl%C3%A9tico_de_Ceuta;https://es.wikipedia.org/wiki/Estadio_Municipal_Alfonso_Murube
At. Madrid B; Club Atlético de Madrid;Athletic Club (Sucursal de Madrid);Madrid;1903;Wanda Metropolitano;https://es.wikipedia.org/wiki/Club_Atl%C3%A9tico_de_Madrid;https://es.wikipedia.org/wiki/Estadio_Metropolitano_(Madrid)
Cartagena F.C.; Cartagena Fútbol Club;Cartagena Foot-Ball Club;Cartagena;1919;Cartagonova;https://es.wikipedia.org/wiki/Cartagena_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Estadio_Cartagonova
Xerez; Xerez Club Deportivo;Jerez Club Deportivo;Jerez de la Frontera;1947;Municipal de Chapín;https://es.wikipedia.org/wiki/Xerez_Club_Deportivo;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Chap%C3%ADn
Ath. Bilbao B; Athletic Club;Athletic Club;Bilbao;1898;San Mamés;https://es.wikipedia.org/wiki/Athletic_Club;https://es.wikipedia.org/wiki/Estadio_de_San_Mam%C3%A9s_(2013)
Zaragoza B; Real Zaragoza;Zaragoza Foot-Ball Club;Zaragoza;1932;La Romareda;https://es.wikipedia.org/wiki/Real_Zaragoza;https://es.wikipedia.org/wiki/La_Romareda
Sestao; Sestao River Club;Sestao River Club;Sestao;1996;Las Llanas;https://es.wikipedia.org/wiki/Sestao_River_Club;https://es.wikipedia.org/wiki/Campo_Municipal_de_Las_Llanas
Albacete; Albacete Balompié;Albacete Foot-Ball Association;Albacete;1940;Carlos Belmonte;https://es.wikipedia.org/wiki/Albacete_Balompi%C3%A9;https://es.wikipedia.org/wiki/Estadio_Carlos_Belmonte
Figueres; Unió Esportiva Figueres;Unión Sportiva Figueras;Figueras;1919;Municipal de Vilatenim;https://es.wikipedia.org/wiki/Uni%C3%B3_Esportiva_Figueres;https://es.wikipedia.org/wiki/Estadi_Municipal_de_Vilatenim
Lleida; Club Lleida Esportiu;Club Lleida Esportiu;Lérida;2011;Camp dEsports;https://es.wikipedia.org/wiki/Club_Lleida_Esportiu;https://es.wikipedia.org/wiki/Camp_d%27Esports
Burgos (Real); Real Burgos Club de Fútbol;Real Burgos Club de Fútbol;Burgos;1983;Pallafría;https://es.wikipedia.org/wiki/Real_Burgos_Club_de_F%C3%BAtbol;https://es.wikipedia.org/w/index.php?title=Campos_de_F%C3%BAtbol_de_Pallafr%C3%ADa&action=edit&redlink=1
Éibar; Sociedad Deportiva Eibar;Sociedad Deportiva Eibar;Éibar;1943;Municipal de Ipurúa;https://es.wikipedia.org/wiki/Sociedad_Deportiva_Eibar;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Ipur%C3%BAa
Palamós; Palamós Club de Fútbol;Palamós Sociedad Cultural;Palamós;1954;Nou Estadi de Palamós;https://es.wikipedia.org/wiki/Palam%C3%B3s_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Nou_Estadi_de_Palam%C3%B3s
Avilés; Real Avilés Club de Fútbol;Avilés Sport Club;Avilés;1903;Suárez Puerta;https://es.wikipedia.org/wiki/Real_Avil%C3%A9s_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Nuevo_Rom%C3%A1n_Su%C3%A1rez_Puerta
Mérida; Asociación Deportiva Mérida;Asociación Deportiva Mérida;Mérida;2013;Romano;https://es.wikipedia.org/wiki/Asociaci%C3%B3n_Deportiva_M%C3%A9rida;https://es.wikipedia.org/wiki/Estadio_Romano
Compostela; Sociedad Deportiva Compostela;Sociedad Deportiva Campus Stellae;Santiago de Compostela;2004;Multiusos de San Lázaro;https://es.wikipedia.org/wiki/Sociedad_Deportiva_Compostela_(2004);https://es.wikipedia.org/wiki/Estadio_Multiusos_de_San_L%C3%A1zaro
Badajoz; Club Deportivo Badajoz;Club Deportivo Badajoz 1905;Badajoz;2012;Nuevo Vivero;https://es.wikipedia.org/wiki/Club_Deportivo_Badajoz_(2012);https://es.wikipedia.org/wiki/Estadio_Nuevo_Vivero
Lugo; Club Deportivo Lugo;Club Deportivo Lugo;Lugo;1953;Anxo Carro;https://es.wikipedia.org/wiki/Club_Deportivo_Lugo;https://es.wikipedia.org/wiki/Estadio_Anxo_Carro
Villarreal; Villarreal Club de Fútbol;Club Atlético Foghetecaz;Villarreal;1944;El Madrigal;https://es.wikipedia.org/wiki/Villarreal_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/El_Madrigal
Leganés; Club Deportivo Leganés;Club Deportivo Leganés;Leganés;1928;Municipal de Butarque;https://es.wikipedia.org/wiki/Club_Deportivo_Legan%C3%A9s;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Butarque
Extremadura; Extremadura Unión Deportiva;Extremadura Unión Deportiva;Almendralejo;2007;Francisco de la Hera;https://es.wikipedia.org/wiki/Extremadura_Uni%C3%B3n_Deportiva;https://es.wikipedia.org/wiki/Estadio_Francisco_de_la_Hera
Almería; Unión Deportiva Almería;Almería Club de Fútbol;Almería;1989;Juegos Mediterráneos;https://es.wikipedia.org/wiki/Uni%C3%B3n_Deportiva_Almer%C3%ADa;https://es.wikipedia.org/wiki/Estadio_de_los_Juegos_Mediterr%C3%A1neos
Numancia; Club Deportivo Numancia de Soria;Club Deportivo Numancia;Soria;1945;Nuevo Los Pajaritos;https://es.wikipedia.org/wiki/Club_Deportivo_Numancia_de_Soria;https://es.wikipedia.org/wiki/Nuevo_Estadio_Los_Pajaritos
Mallorca B; Real Club Deportivo Mallorca;(Sociedad) Alfonso XIII Foot-Ball Club;Palma de Mallorca;1916;Son Moix;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Mallorca;https://es.wikipedia.org/wiki/Son_Moix
Málaga; Vélez Club de Fútbol;Sociedad Deportiva Vélez Football Club;Vélez-Málaga;1922;Estadio Vivar Téllez;https://es.wikipedia.org/wiki/V%C3%A9lez_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Vivar_T%C3%A9llez
Univ.Las Palmas; Unión Deportiva Las Palmas;Unión Deportiva Las Palmas;Las Palmas de Gran Canaria;1949;Gran Canaria;https://es.wikipedia.org/wiki/Uni%C3%B3n_Deportiva_Las_Palmas;https://es.wikipedia.org/wiki/Estadio_de_Gran_Canaria
Málaga B; Vélez Club de Fútbol;Sociedad Deportiva Vélez Football Club;Vélez-Málaga;1922;Estadio Vivar Téllez;https://es.wikipedia.org/wiki/V%C3%A9lez_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Vivar_T%C3%A9llez
Ponferradina; Sociedad Deportiva Ponferradina;Sociedad Deportiva Ponferradina;Ponferrada;1921;El Toralín;https://es.wikipedia.org/wiki/Sociedad_Deportiva_Ponferradina;https://es.wikipedia.org/wiki/Estadio_El_Toral%C3%ADn
Sevilla B; Sevilla Fútbol Club;Sevilla Foot-Ball Club;Sevilla;1890;Ramón Sánchez-Pizjuán;https://es.wikipedia.org/wiki/Sevilla_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Estadio_Ram%C3%B3n_S%C3%A1nchez-Pizju%C3%A1n
Alicante; Hércules de Alicante Club de Fútbol;Hércules Foot-Ball Club;Alicante;1914;José Rico Pérez;https://es.wikipedia.org/wiki/H%C3%A9rcules_de_Alicante_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Jos%C3%A9_Rico_P%C3%A9rez
Girona; Girona Fútbol Club;Gerona Foot-Ball Club;Gerona;1930;Municipal de Montilivi;https://es.wikipedia.org/wiki/Girona_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Municipal_de_Montilivi
Huesca; Sociedad Deportiva Huesca;Sociedad Deportiva Huesca;Huesca;1960;El Alcoraz;https://es.wikipedia.org/wiki/Sociedad_Deportiva_Huesca;https://es.wikipedia.org/wiki/Estadio_El_Alcoraz
Villarreal B; Villarreal Club de Fútbol;Club Atlético Foghetecaz;Villarreal;1944;El Madrigal;https://es.wikipedia.org/wiki/Villarreal_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/El_Madrigal
Real Unión; Real Unión de Tenerife Club de Fútbol;(Sociedad) 1.º de Abril para el Fomento de El Cabo;Tenerife;1915;Municipal de La Salud;https://es.wikipedia.org/wiki/Real_Uni%C3%B3n_de_Tenerife_Club_de_F%C3%BAtbol;https://es.wikipedia.org/w/index.php?title=Estadio_Municipal_de_La_Salud&action=edit&redlink=1
Cartagena; Cartagena Fútbol Club;Cartagena Foot-Ball Club;Cartagena;1919;Cartagonova;https://es.wikipedia.org/wiki/Cartagena_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Estadio_Cartagonova
Alcorcón; Agrupación Deportiva Alcorcón;Agrupación Deportiva Alcorcón;Alcorcón;1971;Santo Domingo;https://es.wikipedia.org/wiki/Agrupaci%C3%B3n_Deportiva_Alcorc%C3%B3n;https://es.wikipedia.org/wiki/Estadio_Santo_Domingo
Guadalajara; Club Deportivo Guadalajara;Club Deportivo Guadalajara;Guadalajara;1947;Pedro Escartín;https://es.wikipedia.org/wiki/Club_Deportivo_Guadalajara_(Espa%C3%B1a);https://es.wikipedia.org/wiki/Campo_de_f%C3%BAtbol_Pedro_Escart%C3%ADn
Alcoyano; Club Deportivo Alcoyano;Club Deportivo Alcoyano;Alcoy;1928;El Collao;https://es.wikipedia.org/wiki/Club_Deportivo_Alcoyano;https://es.wikipedia.org/wiki/Estadio_El_Collao
Mirandés; Club Deportivo Mirandés;Club Deportivo Mirandés;Miranda de Ebro;1927;Municipal de Anduva;https://es.wikipedia.org/wiki/Club_Deportivo_Mirand%C3%A9s;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Anduva
Ourense; Club Deportivo Ourense;Club Deportivo Orense;Orense;1952;O Couto;https://es.wikipedia.org/wiki/Club_Deportivo_Ourense;https://es.wikipedia.org/wiki/Estadio_de_O_Couto
Almería (A.D.); Agrupación Deportiva Almería;Almería Club de Fútbol;Almería;1971;Antonio Franco Navarro;https://es.wikipedia.org/wiki/Agrupaci%C3%B3n_Deportiva_Almer%C3%ADa;https://es.wikipedia.org/wiki/Estadio_Municipal_Juan_Rojas
Lorca; Lorca Atlético Club de Fútbol;Sangonera Atlético;Lorca;1996;Estadio Fco. Artés Carrasco;https://es.wikipedia.org/wiki/Lorca_Atl%C3%A9tico_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Francisco_Art%C3%A9s_Carrasco
Ejido; Club Polideportivo Ejido;Club Polideportivo Ejido;El Ejido;1969;Municipal de Sto. Domingo;https://es.wikipedia.org/wiki/Club_Polideportivo_Ejido;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Santo_Domingo
