"PUNTOS","PUESTO","GOLESAF","GOLESEC","PARTIDOSGANADOS","PARTIDOSEMPATADOS","PARTIDOSPERDIDOS","ASCIENDE","DESCIENDE","EUROPA","EQUIPO","DIVISION","TEMPORADA","NUMJORNADA"
48,13,42,32,12,12,11,,,,"Valladolid","1ª",1996,42
42,14,45,29,10,12,10,,,,"Sevilla","1ª",1996,42
41,15,41,37,11,8,12,,,,"Rac. Santander","1ª",1996,42
41,16,53,39,11,8,10,,,,"Salamanca","1ª",1996,42
40,17,32,37,11,7,16,,,,"Sporting Gijón","1ª",1996,42
39,18,41,38,10,9,13,,,,"Ath. Bilbao","1ª",1996,42
38,19,36,36,8,14,10,,,,"Zaragoza","1ª",1996,42
37,20,58,50,10,7,16,,,,"Rayo Vallecano","1ª",1996,42
34,21,35,62,9,7,19,,1,,"Albacete","1ª",1996,42
33,22,33,44,7,12,13,,1,,"Oviedo","1ª",1996,42
60,1,53,37,16,12,11,1,,,"Lleida","2ª",1996,38
59,2,37,36,17,8,16,1,,,"Badajoz","2ª",1996,38
57,3,35,48,13,18,12,1,,,"Extremadura","2ª",1996,38
56,4,50,32,15,11,9,,,,"Toledo","2ª",1996,38
55,5,42,39,16,7,15,,,,"Hércules","2ª",1996,38
53,6,40,48,13,14,16,,,,"Logroñés","2ª",1996,38
52,7,61,39,14,10,13,,,,"Ath. Bilbao B","2ª",1996,38
51,8,36,42,11,18,12,,,,"Éibar","2ª",1996,38
51,9,37,33,14,9,14,,,,"Mallorca","2ª",1996,38
51,10,53,59,13,12,15,,,,"Leganés","2ª",1996,38
48,11,55,45,14,6,14,,,,"Real Madrid B","2ª",1996,38
46,12,35,45,13,7,18,,,,"Alavés","2ª",1996,38
45,13,34,60,12,9,17,,,,"Écija","2ª",1996,38
45,14,46,52,11,12,13,,,,"Barcelona B","2ª",1996,38
44,15,42,47,10,14,14,,,,"Almería","2ª",1996,38
41,16,38,51,11,8,17,,,,"Villarreal","2ª",1996,38
41,17,32,49,11,8,17,,,,"Osasuna","2ª",1996,38
31,18,49,45,8,7,15,,,,"Sestao","2ª",1996,38
26,19,45,41,6,8,13,,,,"Marbella","2ª",1996,38
26,20,37,48,5,11,15,,,,"Getafe","2ª",1996,38
30,21,35,48,4,18,12,1,,,"Extremadura","Promoción 1ª/2ª",1996,0
27,22,37,33,6,9,14,1,,,"Mallorca","Promoción 1ª/2ª",1996,0
19,23,58,50,4,7,16,1,,,"Rayo Vallecano","Promoción 1ª/2ª",1996,0
79,1,41,21,23,10,6,,,1,"Barcelona","1ª",1997,42
78,2,45,29,23,9,8,,,1,"Real Madrid","1ª",1997,42
71,3,49,29,21,8,6,,,1,"At. Madrid","1ª",1997,42
62,4,29,36,16,14,13,,,1,"Betis","1ª",1997,42
60,5,42,32,16,12,11,,,1,"Valladolid","1ª",1997,42
56,6,48,27,15,11,7,,,,"Espanyol","1ª",1997,42
54,7,35,48,12,18,12,,,,"Extremadura","1ª",1997,42
52,8,22,44,13,13,14,,,,"Dptivo. Coruña","1ª",1997,42
51,9,30,37,14,9,15,,,,"Celta","1ª",1997,42
50,10,37,39,14,8,13,,,,"Real Sociedad","1ª",1997,42
50,11,36,32,13,11,12,,,,"Compostela","1ª",1997,42
49,12,37,33,13,10,12,,,,"Valencia","1ª",1997,42
46,13,42,39,13,7,15,,,,"Hércules","1ª",1997,42
45,14,36,38,12,9,16,,,,"Tenerife","1ª",1997,42
45,15,33,44,11,12,13,,,,"Oviedo","1ª",1997,42
45,16,45,29,11,12,10,,,,"Sevilla","1ª",1997,42
44,17,36,36,10,14,10,,,,"Zaragoza","1ª",1997,42
42,18,41,38,11,9,13,,,,"Ath. Bilbao","1ª",1997,42
41,19,41,37,11,8,12,,,,"Rac. Santander","1ª",1997,42
40,20,58,50,11,7,16,,,,"Rayo Vallecano","1ª",1997,42
35,21,40,48,7,14,16,,1,,"Logroñés","1ª",1997,42
34,22,32,37,9,7,16,,1,,"Sporting Gijón","1ª",1997,42
72,1,58,48,21,9,13,1,,,"Mérida","2ª",1997,38
60,2,37,33,17,9,14,1,,,"Mallorca","2ª",1997,38
59,3,53,39,17,8,10,1,,,"Salamanca","2ª",1997,38
57,4,53,37,15,12,11,,,,"Lleida","2ª",1997,38
56,5,50,32,15,11,9,,,,"Toledo","2ª",1997,38
53,6,37,36,15,8,16,,,,"Badajoz","2ª",1997,38
51,7,36,42,11,18,12,,,,"Éibar","2ª",1997,38
50,8,38,51,14,8,17,,,,"Villarreal","2ª",1997,38
48,9,53,59,12,12,15,,,,"Leganés","2ª",1997,38
46,10,35,62,13,7,19,,,,"Albacete","2ª",1997,38
44,11,42,47,10,14,14,,,,"Almería","2ª",1997,38
42,12,43,45,10,12,13,,,,"Ourense","2ª",1997,38
42,13,38,44,11,9,14,,,,"Las Palmas","2ª",1997,38
38,14,32,49,10,8,17,,,,"Osasuna","2ª",1997,38
37,15,37,48,10,7,21,,,,"Levante","2ª",1997,38
36,16,55,45,10,6,14,,,,"Real Madrid B","2ª",1997,38
36,17,44,55,9,9,16,,,,"At. Madrid B","2ª",1997,38
33,18,46,52,7,12,13,,,,"Barcelona B","2ª",1997,38
33,19,34,60,8,9,17,,,,"Écija","2ª",1997,38
31,20,35,45,8,7,18,,,,"Alavés","2ª",1997,38
27,21,37,33,6,9,14,1,,,"Mallorca","Promoción 1ª/2ª",1997,0
19,22,58,50,4,7,16,1,,,"Rayo Vallecano","Promoción 1ª/2ª",1997,0
70,1,41,21,20,10,6,,,1,"Barcelona","1ª",1998,38
69,2,30,37,20,9,15,,,1,"Celta","1ª",1998,38
68,3,49,29,20,8,6,,,1,"At. Madrid","1ª",1998,38
65,4,29,36,17,14,13,,,1,"Betis","1ª",1998,38
63,5,45,29,18,9,8,,,1,"Real Madrid","1ª",1998,38
54,6,37,33,15,9,14,,,,"Mallorca","1ª",1998,38
54,7,58,48,15,9,13,,,,"Mérida","1ª",1998,38
50,8,36,32,13,11,12,,,,"Compostela","1ª",1998,38
50,9,48,27,13,11,7,,,,"Espanyol","1ª",1998,38
48,10,41,38,13,9,13,,,,"Ath. Bilbao","1ª",1998,38
48,11,42,32,12,12,11,,,,"Valladolid","1ª",1998,38
47,12,41,37,13,8,12,,,,"Rac. Santander","1ª",1998,38
47,13,53,39,13,8,10,,,,"Salamanca","1ª",1998,38
46,14,37,33,12,10,12,,,,"Valencia","1ª",1998,38
44,15,37,39,12,8,13,,,,"Real Sociedad","1ª",1998,38
43,16,22,44,10,13,14,,,,"Dptivo. Coruña","1ª",1998,38
42,17,36,38,11,9,16,,,,"Tenerife","1ª",1998,38
39,18,33,44,9,12,13,,,,"Oviedo","1ª",1998,38
29,19,36,36,5,14,10,,1,,"Zaragoza","1ª",1998,38
16,20,32,37,3,7,16,,1,,"Sporting Gijón","1ª",1998,38
66,1,53,37,18,12,11,1,,,"Lleida","2ª",1998,42
63,2,35,48,15,18,12,1,,,"Extremadura","2ª",1998,42
62,3,37,36,18,8,16,1,,,"Badajoz","2ª",1998,42
60,4,45,29,16,12,10,,,,"Sevilla","2ª",1998,42
59,5,38,51,17,8,17,,,,"Villarreal","2ª",1998,42
58,6,35,45,17,7,18,,,,"Alavés","2ª",1998,42
56,7,50,32,15,11,9,,,,"Toledo","2ª",1998,42
54,8,36,42,12,18,12,,,,"Éibar","2ª",1998,42
54,9,44,55,15,9,16,,,,"At. Madrid B","2ª",1998,42
54,10,38,44,15,9,14,,,,"Las Palmas","2ª",1998,42
52,11,48,28,14,10,8,,,,"Elche","2ª",1998,42
51,12,53,59,13,12,15,,,,"Leganés","2ª",1998,42
49,13,42,39,14,7,15,,,,"Hércules","2ª",1998,42
47,14,33,50,10,17,15,,,,"Numancia","2ª",1998,42
46,15,58,50,13,7,16,,,,"Rayo Vallecano","2ª",1998,42
41,16,32,49,11,8,17,,,,"Osasuna","2ª",1998,42
40,17,35,62,11,7,19,,,,"Albacete","2ª",1998,42
39,18,43,45,9,12,13,,,,"Ourense","2ª",1998,42
37,19,42,32,8,13,10,,,,"Jaén","2ª",1998,42
35,20,40,48,7,14,16,,,,"Logroñés","2ª",1998,42
28,21,36,56,7,7,22,,,,"Xerez","2ª",1998,42
22,22,37,48,5,7,21,,,,"Levante","2ª",1998,42
21,23,33,44,3,12,13,1,,,"Oviedo","Promoción 1ª/2ª",1998,0
18,24,38,44,3,9,14,1,,,"Las Palmas","Promoción 1ª/2ª",1998,0
69,1,45,29,20,9,8,,,1,"Real Madrid","1ª",1999,38
67,2,41,21,19,10,6,,,1,"Barcelona","1ª",1999,38
66,3,37,33,19,9,14,,,1,"Mallorca","1ª",1999,38
63,4,30,37,18,9,15,,,1,"Celta","1ª",1999,38
59,5,49,29,17,8,6,,,1,"At. Madrid","1ª",1999,38
57,6,42,32,15,12,11,,,,"Valladolid","1ª",1999,38
56,7,29,36,14,14,13,,,,"Betis","1ª",1999,38
52,8,37,33,14,10,12,,,,"Valencia","1ª",1999,38
51,9,35,48,11,18,12,,,,"Extremadura","1ª",1999,38
50,10,36,36,12,14,10,,,,"Zaragoza","1ª",1999,38
50,11,48,27,13,11,7,,,,"Espanyol","1ª",1999,38
49,12,22,44,12,13,14,,,,"Dptivo. Coruña","1ª",1999,38
47,13,37,39,13,8,13,,,,"Real Sociedad","1ª",1999,38
42,14,33,44,10,12,13,,,,"Oviedo","1ª",1999,38
42,15,41,38,11,9,13,,,,"Ath. Bilbao","1ª",1999,38
41,16,53,39,11,8,10,,,,"Salamanca","1ª",1999,38
41,17,41,37,11,8,12,,,,"Rac. Santander","1ª",1999,38
40,18,35,45,11,7,18,,,,"Alavés","1ª",1999,38
38,19,38,51,10,8,17,,1,,"Villarreal","1ª",1999,38
30,20,36,38,7,9,16,,1,,"Tenerife","1ª",1999,38
79,1,72,47,22,13,7,1,,,"Málaga","2ª",1999,42
65,2,33,50,16,17,15,1,,,"Numancia","2ª",1999,42
63,3,58,48,18,9,13,1,,,"Mérida","2ª",1999,42
62,4,50,32,17,11,9,,,,"Toledo","2ª",1999,42
57,5,45,29,15,12,10,,,,"Sevilla","2ª",1999,42
57,6,53,37,15,12,11,,,,"Lleida","2ª",1999,42
56,7,36,32,15,11,12,,,,"Compostela","2ª",1999,42
56,8,37,36,16,8,16,,,,"Badajoz","2ª",1999,42
54,9,44,55,15,9,16,,,,"At. Madrid B","2ª",1999,42
52,10,58,50,15,7,16,,,,"Rayo Vallecano","2ª",1999,42
50,11,39,43,13,11,15,,,,"Rec. Huelva","2ª",1999,42
48,12,38,44,13,9,14,,,,"Las Palmas","2ª",1999,42
48,13,53,59,12,12,15,,,,"Leganés","2ª",1999,42
48,14,36,42,10,18,12,,,,"Éibar","2ª",1999,42
47,15,32,49,13,8,17,,,,"Osasuna","2ª",1999,42
46,16,52,64,12,10,20,,,,"Mallorca B","2ª",1999,42
42,17,46,52,10,12,13,,,,"Barcelona B","2ª",1999,42
38,18,40,48,8,14,16,,,,"Logroñés","2ª",1999,42
37,19,35,62,10,7,19,,,,"Albacete","2ª",1999,42
37,20,32,37,10,7,16,,,,"Sporting Gijón","2ª",1999,42
36,21,43,45,8,12,13,,,,"Ourense","2ª",1999,42
34,22,42,39,9,7,15,,,,"Hércules","2ª",1999,42
24,23,45,29,4,12,10,1,,,"Sevilla","Promoción 1ª/2ª",1999,0
19,24,58,50,4,7,16,1,,,"Rayo Vallecano","Promoción 1ª/2ª",1999,0
67,1,41,21,19,10,6,,,1,"Barcelona","1ª",2000,38
64,2,22,44,17,13,14,,,1,"Dptivo. Coruña","1ª",2000,38
61,3,72,47,16,13,7,,,1,"Málaga","1ª",2000,38
60,4,42,32,16,12,11,,,1,"Valladolid","1ª",2000,38
57,5,30,37,16,9,15,,,1,"Celta","1ª",2000,38
57,6,37,33,16,9,14,,,,"Mallorca","1ª",2000,38
56,7,33,50,13,17,15,,,,"Numancia","1ª",2000,38
56,8,29,36,14,14,13,,,,"Betis","1ª",2000,38
55,9,37,33,15,10,12,,,,"Valencia","1ª",2000,38
54,10,45,29,15,9,8,,,,"Real Madrid","1ª",2000,38
50,11,36,36,12,14,10,,,,"Zaragoza","1ª",2000,38
50,12,49,29,14,8,6,,,,"At. Madrid","1ª",2000,38
47,13,48,27,12,11,7,,,,"Espanyol","1ª",2000,38
45,14,33,44,11,12,13,,,,"Oviedo","1ª",2000,38
41,15,37,39,11,8,13,,,,"Real Sociedad","1ª",2000,38
40,16,58,50,11,7,16,,,,"Rayo Vallecano","1ª",2000,38
40,17,35,45,11,7,18,,,,"Alavés","1ª",2000,38
36,18,41,38,9,9,13,,,,"Ath. Bilbao","1ª",2000,38
36,19,45,29,8,12,10,,1,,"Sevilla","1ª",2000,38
32,20,41,37,8,8,12,,1,,"Rac. Santander","1ª",2000,38
63,1,53,37,17,12,11,1,,,"Lleida","2ª",2000,42
63,2,35,48,15,18,12,1,,,"Extremadura","2ª",2000,42
57,3,58,48,16,9,13,1,,,"Mérida","2ª",2000,42
54,4,53,59,14,12,15,,,,"Leganés","2ª",2000,42
53,5,32,49,15,8,17,,,,"Osasuna","2ª",2000,42
53,6,53,39,15,8,10,,,,"Salamanca","2ª",2000,42
51,7,36,42,11,18,12,,,,"Éibar","2ª",2000,42
50,8,38,51,14,8,17,,,,"Villarreal","2ª",2000,42
50,9,50,32,13,11,9,,,,"Toledo","2ª",2000,42
49,10,37,48,14,7,21,,,,"Levante","2ª",2000,42
49,11,48,28,13,10,8,,,,"Elche","2ª",2000,42
48,12,38,44,13,9,14,,,,"Las Palmas","2ª",2000,42
47,13,36,32,12,11,12,,,,"Compostela","2ª",2000,42
45,14,36,38,12,9,16,,,,"Tenerife","2ª",2000,42
45,15,45,46,12,9,16,,,,"Córdoba","2ª",2000,42
44,16,37,36,12,8,16,,,,"Badajoz","2ª",2000,42
42,17,44,55,11,9,16,,,,"At. Madrid B","2ª",2000,42
41,18,40,48,9,14,16,,,,"Logroñés","2ª",2000,42
41,19,37,48,10,11,15,,,,"Getafe","2ª",2000,42
40,20,35,62,11,7,19,,,,"Albacete","2ª",2000,42
40,21,32,37,11,7,16,,,,"Sporting Gijón","2ª",2000,42
38,22,39,43,9,11,15,,,,"Rec. Huelva","2ª",2000,42
72,1,45,29,21,9,8,,,1,"Real Madrid","1ª",2001,38
70,2,72,47,19,13,7,,,1,"Málaga","1ª",2001,38
66,3,37,33,19,9,14,,,1,"Mallorca","1ª",2001,38
64,4,41,21,18,10,6,,,1,"Barcelona","1ª",2001,38
61,5,22,44,16,13,14,,,1,"Dptivo. Coruña","1ª",2001,38
60,6,30,37,17,9,15,,,,"Celta","1ª",2001,38
58,7,37,33,16,10,12,,,,"Valencia","1ª",2001,38
53,8,33,50,12,17,15,,,,"Numancia","1ª",2001,38
53,9,41,37,15,8,12,,,,"Rac. Santander","1ª",2001,38
51,10,42,32,13,12,11,,,,"Valladolid","1ª",2001,38
50,11,48,27,13,11,7,,,,"Espanyol","1ª",2001,38
47,12,38,51,13,8,17,,,,"Villarreal","1ª",2001,38
45,13,33,44,11,12,13,,,,"Oviedo","1ª",2001,38
45,14,38,44,12,9,14,,,,"Las Palmas","1ª",2001,38
41,15,36,36,9,14,10,,,,"Zaragoza","1ª",2001,38
40,16,35,45,11,7,18,,,,"Alavés","1ª",2001,38
39,17,41,38,10,9,13,,,,"Ath. Bilbao","1ª",2001,38
37,18,58,50,10,7,16,,,,"Rayo Vallecano","1ª",2001,38
32,19,37,39,8,8,13,,1,,"Real Sociedad","1ª",2001,38
32,20,32,49,8,8,17,,1,,"Osasuna","1ª",2001,38
74,1,49,29,22,8,6,1,,,"At. Madrid","2ª",2001,42
74,2,29,36,20,14,13,1,,,"Betis","2ª",2001,42
63,3,45,29,17,12,10,1,,,"Sevilla","2ª",2001,42
63,4,35,48,15,18,12,,,,"Extremadura","2ª",2001,42
56,5,37,36,16,8,16,,,,"Badajoz","2ª",2001,42
55,6,42,32,14,13,10,,,,"Jaén","2ª",2001,42
51,7,36,38,14,9,16,,,,"Tenerife","2ª",2001,42
51,8,61,26,13,12,8,,,,"Murcia","2ª",2001,42
49,9,35,62,14,7,19,,,,"Albacete","2ª",2001,42
48,10,36,42,10,18,12,,,,"Éibar","2ª",2001,42
44,11,39,43,11,11,15,,,,"Rec. Huelva","2ª",2001,42
44,12,53,39,12,8,10,,,,"Salamanca","2ª",2001,42
44,13,36,32,11,11,12,,,,"Compostela","2ª",2001,42
43,14,48,28,11,10,8,,,,"Elche","2ª",2001,42
43,15,22,80,12,7,27,,,,"Ferrol","2ª",2001,42
42,16,53,59,10,12,15,,,,"Leganés","2ª",2001,42
42,17,45,46,11,9,16,,,,"Córdoba","2ª",2001,42
40,18,37,48,11,7,21,,,,"Levante","2ª",2001,42
40,19,32,37,11,7,16,,,,"Sporting Gijón","2ª",2001,42
39,20,53,37,9,12,11,,,,"Lleida","2ª",2001,42
39,21,34,63,8,15,19,,,,"Univ.Las Palmas","2ª",2001,42
29,22,37,48,6,11,15,,,,"Getafe","2ª",2001,42
69,1,45,29,20,9,8,,,1,"Real Madrid","1ª",2002,38
65,2,29,36,17,14,13,,,1,"Betis","1ª",2002,38
64,3,72,47,17,13,7,,,1,"Málaga","1ª",2002,38
64,4,41,21,18,10,6,,,1,"Barcelona","1ª",2002,38
61,5,37,33,17,10,12,,,1,"Valencia","1ª",2002,38
59,6,48,27,16,11,7,,,,"Espanyol","1ª",2002,38
57,7,30,37,16,9,15,,,,"Celta","1ª",2002,38
55,8,22,44,14,13,14,,,,"Dptivo. Coruña","1ª",2002,38
54,9,42,32,14,12,11,,,,"Valladolid","1ª",2002,38
49,10,58,50,14,7,16,,,,"Rayo Vallecano","1ª",2002,38
47,11,38,51,13,8,17,,,,"Villarreal","1ª",2002,38
45,12,37,33,12,9,14,,,,"Mallorca","1ª",2002,38
42,13,45,29,10,12,10,,,,"Sevilla","1ª",2002,38
40,14,35,45,11,7,18,,,,"Alavés","1ª",2002,38
38,15,37,39,10,8,13,,,,"Real Sociedad","1ª",2002,38
36,16,36,38,9,9,16,,,,"Tenerife","1ª",2002,38
36,17,38,44,9,9,14,,,,"Las Palmas","1ª",2002,38
35,18,36,36,7,14,10,,,,"Zaragoza","1ª",2002,38
32,19,32,49,8,8,17,,1,,"Osasuna","1ª",2002,38
30,20,41,38,7,9,13,,1,,"Ath. Bilbao","1ª",2002,38
68,1,49,29,20,8,6,1,,,"At. Madrid","2ª",2002,42
65,2,41,37,19,8,12,1,,,"Rac. Santander","2ª",2002,42
58,3,22,80,17,7,27,1,,,"Ferrol","2ª",2002,42
58,4,48,28,16,10,8,,,,"Elche","2ª",2002,42
57,5,36,42,13,18,12,,,,"Éibar","2ª",2002,42
56,6,39,43,15,11,15,,,,"Rec. Huelva","2ª",2002,42
56,7,37,36,16,8,16,,,,"Badajoz","2ª",2002,42
54,8,35,48,12,18,12,,,,"Extremadura","2ª",2002,42
52,9,36,56,15,7,22,,,,"Xerez","2ª",2002,42
51,10,53,59,13,12,15,,,,"Leganés","2ª",2002,42
51,11,61,26,13,12,8,,,,"Murcia","2ª",2002,42
50,12,33,50,11,17,15,,,,"Numancia","2ª",2002,42
50,13,41,48,12,14,16,,,,"Ejido","2ª",2002,42
46,14,35,62,13,7,19,,,,"Albacete","2ª",2002,42
41,15,53,39,11,8,10,,,,"Salamanca","2ª",2002,42
39,16,33,44,9,12,13,,,,"Oviedo","2ª",2002,42
36,17,45,46,9,9,16,,,,"Córdoba","2ª",2002,42
36,18,35,48,9,9,17,,,,"Gimn. Tarragona","2ª",2002,42
34,19,42,32,7,13,10,,,,"Jaén","2ª",2002,42
34,20,32,37,9,7,16,,,,"Sporting Gijón","2ª",2002,42
24,21,36,63,5,9,19,,,,"Burgos","2ª",2002,42
22,22,37,48,5,7,21,,,,"Levante","2ª",2002,42
66,1,45,29,19,9,8,,,1,"Real Madrid","1ª",2003,38
64,2,72,47,17,13,7,,,1,"Málaga","1ª",2003,38
59,3,29,36,15,14,13,,,1,"Betis","1ª",2003,38
59,4,49,29,17,8,6,,,1,"At. Madrid","1ª",2003,38
58,5,41,21,16,10,6,,,1,"Barcelona","1ª",2003,38
57,6,30,37,16,9,15,,,,"Celta","1ª",2003,38
55,7,22,44,14,13,14,,,,"Dptivo. Coruña","1ª",2003,38
54,8,42,32,14,12,11,,,,"Valladolid","1ª",2003,38
53,9,37,39,15,8,13,,,,"Real Sociedad","1ª",2003,38
50,10,41,37,14,8,12,,,,"Rac. Santander","1ª",2003,38
49,11,37,33,13,10,12,,,,"Valencia","1ª",2003,38
47,12,48,27,12,11,7,,,,"Espanyol","1ª",2003,38
45,13,37,33,12,9,14,,,,"Mallorca","1ª",2003,38
45,14,45,29,11,12,10,,,,"Sevilla","1ª",2003,38
45,15,41,38,12,9,13,,,,"Ath. Bilbao","1ª",2003,38
44,16,38,51,12,8,17,,,,"Villarreal","1ª",2003,38
38,17,32,49,10,8,17,,,,"Osasuna","1ª",2003,38
35,18,39,43,8,11,15,,,,"Rec. Huelva","1ª",2003,38
28,19,58,50,7,7,16,,1,,"Rayo Vallecano","1ª",2003,38
25,20,35,45,6,7,18,,1,,"Alavés","1ª",2003,38
72,1,61,26,20,12,8,1,,,"Murcia","2ª",2003,42
56,2,33,50,13,17,15,1,,,"Numancia","2ª",2003,42
53,3,41,48,13,14,16,1,,,"Ejido","2ª",2003,42
50,4,36,36,12,14,10,,,,"Zaragoza","2ª",2003,42
50,5,36,32,13,11,12,,,,"Compostela","2ª",2003,42
49,6,22,80,14,7,27,,,,"Ferrol","2ª",2003,42
47,7,37,36,13,8,16,,,,"Badajoz","2ª",2003,42
47,8,42,47,11,14,14,,,,"Almería","2ª",2003,42
46,9,48,28,12,10,8,,,,"Elche","2ª",2003,42
45,10,53,59,11,12,15,,,,"Leganés","2ª",2003,42
45,11,38,44,12,9,14,,,,"Las Palmas","2ª",2003,42
45,12,36,42,9,18,12,,,,"Éibar","2ª",2003,42
45,13,36,38,12,9,16,,,,"Tenerife","2ª",2003,42
44,14,37,48,11,11,15,,,,"Getafe","2ª",2003,42
43,15,37,48,12,7,21,,,,"Levante","2ª",2003,42
43,16,35,45,11,10,16,,,,"Terrassa","2ª",2003,42
41,17,53,39,11,8,10,,,,"Salamanca","2ª",2003,42
40,18,35,62,11,7,19,,,,"Albacete","2ª",2003,42
37,19,36,56,10,7,22,,,,"Xerez","2ª",2003,42
31,20,32,37,8,7,16,,,,"Sporting Gijón","2ª",2003,42
30,21,45,46,7,9,16,,,,"Córdoba","2ª",2003,42
30,22,33,44,6,12,13,,,,"Oviedo","2ª",2003,42
70,1,72,47,19,13,7,,,1,"Málaga","1ª",2004,38
68,2,49,29,20,8,6,,,1,"At. Madrid","1ª",2004,38
66,3,45,29,19,9,8,,,1,"Real Madrid","1ª",2004,38
58,4,41,21,16,10,6,,,1,"Barcelona","1ª",2004,38
57,5,45,29,15,12,10,,,1,"Sevilla","1ª",2004,38
55,6,22,44,14,13,14,,,,"Dptivo. Coruña","1ª",2004,38
55,7,37,33,15,10,12,,,,"Valencia","1ª",2004,38
50,8,29,36,12,14,13,,,,"Betis","1ª",2004,38
50,9,38,51,14,8,17,,,,"Villarreal","1ª",2004,38
48,10,42,32,12,12,11,,,,"Valladolid","1ª",2004,38
47,11,48,27,12,11,7,,,,"Espanyol","1ª",2004,38
45,12,37,33,12,9,14,,,,"Mallorca","1ª",2004,38
45,13,61,26,11,12,8,,,,"Murcia","1ª",2004,38
42,14,41,38,11,9,13,,,,"Ath. Bilbao","1ª",2004,38
40,15,35,62,11,7,19,,,,"Albacete","1ª",2004,38
39,16,30,37,10,9,15,,,,"Celta","1ª",2004,38
38,17,41,37,10,8,12,,,,"Rac. Santander","1ª",2004,38
38,18,36,36,8,14,10,,,,"Zaragoza","1ª",2004,38
35,19,37,39,9,8,13,,1,,"Real Sociedad","1ª",2004,38
32,20,32,49,8,8,17,,1,,"Osasuna","1ª",2004,38
71,1,33,50,18,17,15,1,,,"Numancia","2ª",2004,42
56,2,51,45,15,11,13,1,,,"Cádiz","2ª",2004,42
53,3,41,48,13,14,16,1,,,"Ejido","2ª",2004,42
53,4,37,48,14,11,15,,,,"Getafe","2ª",2004,42
52,5,37,48,15,7,21,,,,"Levante","2ª",2004,42
52,6,48,28,14,10,8,,,,"Elche","2ª",2004,42
50,7,39,43,13,11,15,,,,"Rec. Huelva","2ª",2004,42
49,8,32,37,14,7,16,,,,"Sporting Gijón","2ª",2004,42
49,9,51,63,11,16,15,,,,"Granada 74","2ª",2004,42
49,10,46,56,11,16,15,,,,"Málaga B","2ª",2004,42
47,11,42,47,11,14,14,,,,"Almería","2ª",2004,42
